timestamp,worker_nombre,worker_ip,cpu_total,ram_total_gb,storage_total_gb,cpu_utilizado_bd,ram_utilizado_bd_gb,storage_utilizado_bd_gb,instancias_running,slices_detalle,cpu_percent_sistema,ram_percent_sistema,disk_percent_sistema,ram_sistema_gb,disk_free_gb,qemu_count
2025-11-29 00:02:49,worker1,N/A,4,3.84,9.5,0,0,0,0,,0.0,27.7,35.6,1.06,6.12,0
2025-11-29 00:02:49,worker3,N/A,4,3.84,9.5,0,0,0,0,,0.2,28.2,39.4,1.08,5.76,0
2025-11-29 00:02:59,server4,N/A,4,7.76,9.5,0,0,0,0,,0.3,8.2,42.4,0.64,5.47,0
2025-11-29 00:02:59,server3,N/A,4,3.84,9.51,0,0,0,0,,0.0,16.0,45.2,0.61,5.21,0
2025-11-29 00:02:59,worker2,N/A,4,3.84,9.5,0,0,0,0,,1.0,28.0,39.4,1.08,5.76,0
2025-11-29 00:02:59,server2,N/A,4,3.84,9.51,0,0,0,0,,0.0,15.8,40.9,0.61,5.62,0
2025-11-29 00:02:59,worker1,N/A,4,3.84,9.5,0,0,0,0,,0.0,27.7,35.6,1.06,6.12,0
2025-11-29 00:02:59,worker3,N/A,4,3.84,9.5,0,0,0,0,,0.2,28.2,39.4,1.08,5.76,0
2025-11-29 00:03:09,server4,N/A,4,7.76,9.5,0,0,0,0,,0.5,8.2,42.4,0.64,5.47,0
2025-11-29 00:03:09,server3,N/A,4,3.84,9.51,0,0,0,0,,1.0,16.0,45.2,0.61,5.21,0
2025-11-29 00:03:09,worker2,N/A,4,3.84,9.5,0,0,0,0,,0.5,28.0,39.4,1.08,5.76,0
2025-11-29 00:03:09,server2,N/A,4,3.84,9.51,0,0,0,0,,0.0,15.8,40.9,0.61,5.62,0
2025-11-29 00:03:09,worker1,N/A,4,3.84,9.5,0,0,0,0,,0.2,27.7,35.6,1.06,6.12,0
2025-11-29 00:03:09,worker3,N/A,4,3.84,9.5,0,0,0,0,,0.0,28.2,39.4,1.08,5.76,0
2025-11-29 00:03:19,server4,N/A,4,7.76,9.5,0,0,0,0,,0.0,8.2,42.4,0.64,5.47,0
